signal_id,timestamp,direction,signal_state,outcome,btc_price,confidence,entry_zone_low,entry_zone_high,stop_loss,target_1,target_2,risk_reward_ratio,setup_type,market_bias,whale_direction,liquidity_direction,pnl_percent,outcome_notes,status
227f0147-d097-48e9-9caf-65c0ce75a52d,2026-03-14T18:15:16.998000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70598.5,52.9,70598.5,70540.0,71141.04,70200.0,68971.6,0.73,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
b743a9e1-92e5-423f-880c-f29a98487308,2026-03-14T17:52:57.647000,NO TRADE,NO_TRADE,NO_TRADE,70617.0,45.0,69910.83,71323.17,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,NEUTRAL,UP,,,invalidated
cf9fe07d-33a4-4591-9745-107612661ce8,2026-03-14T17:52:03.462000,SHORT,OPERATIONAL,EXPIRED,70619.7,40.0,70619.7,70540.0,71141.04,70200.0,68971.6,0.81,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,invalidated
a4683074-2854-46ab-b6ec-610135b55f6b,2026-03-14T17:52:03.277000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70619.7,40.0,70619.7,70540.0,71141.04,70200.0,68971.6,0.81,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
0143238a-c898-470a-bc9b-0e82f011337e,2026-03-14T17:12:03.765000,SHORT,OPERATIONAL,EXPIRED,70689.5,40.0,70689.5,70787.1,70892.7,70200.0,68971.6,2.41,sweep_reversal,BEARISH,NEUTRAL,UP,,Migrated from legacy format,confirmed
b017967f-f3bd-4726-8ff2-fa8f69a59ff7,2026-03-14T17:12:03.486000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70689.5,40.0,70689.5,70787.1,70892.7,70200.0,68971.6,2.41,sweep_reversal,BEARISH,NEUTRAL,UP,,Migrated from legacy format,confirmed
191c7ec5-73a0-4bed-982a-7c14c320e00d,2026-03-14T16:44:48.173000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70665.0,48.3,70665.0,70787.1,70892.7,70200.0,68971.6,2.04,sweep_reversal,BEARISH,NEUTRAL,UP,,Migrated from legacy format,setup_detected
de681aa2-a245-44eb-b529-0be1a55a179d,2026-03-14T15:51:11.338000,SHORT,OPERATIONAL,EXPIRED,70561.0,49.6,70561.0,70540.0,71141.04,70200.0,68971.6,0.62,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
25451d25-37a6-423c-89c2-179e4c911e09,2026-03-14T15:51:10.382000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70561.0,49.6,70561.0,70540.0,71141.04,70200.0,68971.6,0.62,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
700e5fed-ee85-41c4-bfb3-815695441338,2026-03-14T15:49:10.371000,NO TRADE,NO_TRADE,NO_TRADE,70535.9,45.0,69830.54,71241.26,0.0,0.0,0.0,0.0,standard,BEARISH,SELL,UP,,,invalidated
454949c3-dcc9-49d1-a0f2-ac678922d6db,2026-03-14T15:46:28.825000,SHORT,OPERATIONAL,EXPIRED,70554.7,49.6,70554.7,70540.0,71141.04,70200.0,68971.6,0.6,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,invalidated
a184b946-6aae-4bd4-8b81-dffa1ac27907,2026-03-14T15:46:28.471000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70554.7,49.6,70554.7,70540.0,71141.04,70200.0,68971.6,0.6,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
4063d203-3b88-4e98-8ed4-51b95b72c4d4,2026-03-14T15:43:28.434000,NO TRADE,NO_TRADE,NO_TRADE,70547.3,40.0,70547.3,70540.0,71141.04,70200.0,68971.6,0.0,standard,BEARISH,SELL,UP,,,invalidated
6e4f652d-afdc-4aa5-a6aa-150a01cf2627,2026-03-14T15:42:05.466000,SHORT,OPERATIONAL,EXPIRED,70565.0,58.7,70565.0,70540.0,71141.04,70200.0,68971.6,0.63,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,invalidated
bed90e05-4a41-41b2-a053-75b048d450dd,2026-03-14T15:42:04.577000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70565.0,58.7,70565.0,70540.0,71141.04,70200.0,68971.6,0.63,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
3cbff74e-dde8-4b55-ac0b-e521c4005655,2026-03-14T15:35:33.839000,NO TRADE,NO_TRADE,NO_TRADE,70567.1,45.0,69861.43,71272.77,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,SELL,UP,,,invalidated
1faa3a07-ebf5-4cd5-aa79-f66cff777b65,2026-03-14T15:30:50.529000,SHORT,OPERATIONAL,EXPIRED,70649.1,57.9,70649.1,70540.0,71141.04,70200.0,68971.6,0.91,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,invalidated
8a2b3712-7f14-4341-98a4-d348a55aedde,2026-03-14T15:30:50.231000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70649.1,57.9,70649.1,70540.0,71141.04,70200.0,68971.6,0.91,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
b62a9ea1-4421-4ad9-8ee2-6aeab4592cda,2026-03-14T15:29:25.047000,NO TRADE,NO_TRADE,NO_TRADE,70692.4,50.0,69985.48,71399.32,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,SELL,UP,,,invalidated
f7bf4189-4be4-4a3d-a79b-2924075a26af,2026-03-14T15:29:07.089000,SHORT,OPERATIONAL,EXPIRED,70711.4,58.7,70711.4,70787.1,70892.7,70200.0,68971.6,2.82,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,invalidated
25dec41e-37e2-4274-8d9c-550eace1d012,2026-03-14T15:29:06.916000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70711.4,58.7,70711.4,70787.1,70892.7,70200.0,68971.6,2.82,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
328dc536-f3d6-4569-b7f7-2711f264b16f,2026-03-14T15:27:49.221000,SHORT,OPERATIONAL,EXPIRED,70712.4,49.6,70712.4,70787.1,70892.7,70200.0,68971.6,2.84,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
c5a7c418-2954-491a-b493-cfe20c1cb81c,2026-03-14T15:27:48.974000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70712.4,49.6,70712.4,70787.1,70892.7,70200.0,68971.6,2.84,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,confirmed
1958fef0-109d-4c76-bcf1-16546947d711,2026-03-14T15:20:28.636000,NO TRADE,NO_TRADE,NO_TRADE,70729.7,45.0,70022.4,71437.0,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,NEUTRAL,UP,,,setup_invalidated
